TestName,ParameterName,ResultTypeName
Acetyl Choline Receptor (ACHR) Binding Antibodies,Result,List Of Choices
Acid Phosphatase ( Total & Prostatic ),A:G Ratio,Numeric
Acid Phosphatase Total,A:G Ratio,Numeric
ACTH,A:G Ratio,Numeric
Actinomycetes Culture,Result,List Of Choices
ADH,A:G Ratio,Numeric
AFB - Culture Conventional,Result,List Of Choices
AFB - Detection of rRNA TMA,Result,Numeric
AFB - Versatreak Culture,Result,List Of Choices
AFB - XDR Screen Hain`s Line probe assay,Result,SingleLine Text
AFB -ISOLATION BY RAPID CULTURE MGIT,Result,Numeric
AFB Stain body fluid,AFB Stain body fluid,SubHeading
AFB Stain body fluid,Observation,List Of Choices
AFB Stain body fluid,Result,SingleLine Text
AFB Stain body fluid,Site/Sample type,SingleLine Text
AFB-MTb antibiogram panel 2nd line (4Drugs) KEPO,Result,Numeric
AFB-MTb antibiogram panel Ist Line (4 Drugs) SIREP,Result,SingleLine Text
Albumin ( Serum ),Albumin,Numeric
Aldolase,A:G Ratio,Numeric
Aldosterone,A:G Ratio,Numeric
ALK by FISH ( Onquest ),Result,List Of Choices
Alkali Denaturation ( APT ) Test.,Physical appearance,MultiLine Text
Alkali Denaturation ( APT ) Test.,Result,List Of Choices
Alkali Denaturation ( APT ) Test.,Sample type,SingleLine Text
Alkali Denaturation ( APT ) Test.,Volume,Numeric
Alkaline Phosphatase ( ALP ),Alkaline Phosphatase,Numeric
Allergen Individual - Cow milk,Result,Numeric
Allergic Inhalant Profile,A:G Ratio,Numeric
Allergy individual markers-milk (Lalpath),Result,List Of Choices
Alpha 1 Antitrypsin,A:G Ratio,Numeric
Alpha Feto Protein ( AFP ),Alpha Feto Protein,Numeric
Ambulatory BP Monitoring,Impression,TextEditor
Amino Acids ( Aminogram ),A:G Ratio,Numeric
Amino Acids ( Qualitative Detection ),A:G Ratio,Numeric
Ammonia ( Plasma ),Ammonia,Numeric
Amphetamine,A:G Ratio,Numeric
Amylase ( serum ),Amylase,Numeric
ANA by ELISA,ANA,Numeric
ANA by ELISA,ANA by ELISA,SubHeading
ANA by IFA,Result,Numeric
ANA by Immunoblot,ANA by IMMUNOBLOT,SubHeading
ANA IFT,A:G Ratio,Numeric
ANA Profile,ANA,Numeric
Anaerobic Blood Culture ( Lalpath),Anaerbic Culture,SubHeading
Anaerobic Culture,Anaerbic Culture,SubHeading
Anaerobic Culture,Gram Stain,SingleLine Text
Anaerobic Culture,Result,List Of Choices
Angiostensin Converting Enzyme,ACE - Angiotensin Convertin Enzyme,Numeric
Anti A1 Antibody Titre,Anti A1 Antibody Titre,List Of Choices
Anti Beta Glyco Protein Antibody IgM,A:G Ratio,Numeric
Anti Ds DNA (IF),A:G Ratio,Numeric
ANti Ds DNA - (IF-TITRE),Result,SingleLine Text
Anti Ds DNA - ELISA,A:G Ratio,Numeric
Anti Gliadin IgG,A:G Ratio,Numeric
Anti HAV IgM,Result,SingleLine Text
Anti HAV IgM (ELFA),Anti HAV IgM,Numeric
Anti HAV IgM (ELFA),Anti HAV IgM (ELFA),SubHeading
Anti HAV IgM (ELFA),Interpretation,List Of Choices
Anti HAV Total (Vidas),Result,Numeric
Anti HBc IgM (ELFA),Anti HBc IgM,Numeric
Anti HBc IgM (ELFA),Anti HBc IgM (ELFA),SubHeading
Anti HBc IgM (ELFA),Interpretation,List Of Choices
Anti HBc Total (ELISA),Anti HBc Total,Numeric
Anti HBc Total (ELISA),Anti HBc Total (ELISA),SubHeading
Anti HBc Total (ELISA),Interpretation,List Of Choices
Anti HBe,A:G Ratio,Numeric
Anti HBe (ELFA),Anti HBe,Numeric
Anti HBe (ELFA),Anti HBe (ELFA),SubHeading
Anti HBe (ELFA),Anti-HBe Antibody,Numeric
Anti HBe (ELFA),Interpretation,List Of Choices
Anti HBe (ELFA),Interpretation,List Of Choices
Anti HBe (ELFA),Interpretation,List Of Choices
Anti HBs Total (ELFA),Anti HBs Total,Numeric
Anti HBs Total (ELFA),Anti HBs Total (ELFA),SubHeading
Anti HBs Total (ELFA),Interpretation,List Of Choices
Anti HCV (CLIA),Anti HCV,Numeric
Anti HCV (CLIA),Anti HCV (CLIA),SubHeading
Anti HCV (CLIA),Interpretation,List Of Choices
Anti HCV (ELFA),Anti HCV,Numeric
Anti HCV (ELFA),Anti HCV (ELFA),SubHeading
Anti HCV (ELFA),Interpretation,List Of Choices
Anti HCV-ELISA,Anti HCV,Numeric
Anti HCV-ELISA,Anti HCV (ELISA),SubHeading
Anti HCV-ELISA,Interpretation,List Of Choices
Anti HDV Total,A:G Ratio,Numeric
Anti HEV IgG,A:G Ratio,Numeric
Anti HPV DNA PCR,A:G Ratio,Numeric
Anti intrinsic factor antibodies,Result,Numeric
Anti ISLET Cell Antibodies,A:G Ratio,Numeric
Anti Mullerian Hormone,AMH,Numeric
Anti MUSC- Antibody Test,Anti MUSC- Antibody,SingleLine Text
Anti Nuclear Antibody by IIFA,Anti Nuclear Antibody by IIFA,SubHeading
Anti Nuclear Antibody by IIFA,Estimated Titre,List Of Choices
Anti Nuclear Antibody by IIFA,Grade,List Of Choices
Anti Nuclear Antibody by IIFA,Interpretation,List Of Choices
Anti Nuclear Antibody by IIFA,Pattern,List Of Choices
Anti Nuclear Antibody-ELISA (ANA),ANA,Numeric
Anti Nuclear Antibody-IFA Titre,A:G Ratio,Numeric
Anti Phospholipid IgG,A:G Ratio,Numeric
Anti Phospholipid IgM,A:G Ratio,Numeric
Anti Smooth Muscle Antibody,A:G Ratio,Numeric
Anti Smooth muscle Antibody (ASMA) - IFA,ASMA,List Of Choices
Anti Smooth muscle Antibody (ASMA) - IFA,ASMA TITRE,List Of Choices
Anti Sperm Antibody,A:G Ratio,Numeric
Anti Thrombin III,A:G Ratio,Numeric
Anti-HBs Total (ELFA),Anti HBs Total,Numeric
Antibody Screening Test,Antibody Screening,List Of Choices
Antibody Screening Test,Panel Cell 1,List Of Choices
Antibody Screening Test,Panel Cell 2,List Of Choices
Antibody Screening Test,Panel Cell 3,List Of Choices
Antibody Screening test(11 Cell panel),Result,List Of Choices
Antigliadin Antibody by IgA (Lalpath),Result,List Of Choices
Antigliadin Antibody by IgG  (Lalpath),Result,List Of Choices
Antiparietal cell antibodies,Result,Numeric
APA- IgG (Phospholipid Ab),Result,Numeric
APA- IgM (Phospholipid Ab),Result,Numeric
apo Lipoprotein A1,A:G Ratio,Numeric
apo Lipoprotein B,A:G Ratio,Numeric
APTT,Comment:,Template
APTT,Control,Numeric
APTT,Test,Numeric
Ascitic Fluid Albumin,Albumin,Numeric
Ascitic Fluid Albumin,Ascitic Fluid,SubHeading
Ascitic Fluid Count ( TC & DC ),Appearance,List Of Choices
Ascitic Fluid Count ( TC & DC ),Ascitic Fluid,SubHeading
Ascitic Fluid Count ( TC & DC ),Celll Count,SubHeading
Ascitic Fluid Count ( TC & DC ),Colour,List Of Choices
Ascitic Fluid Count ( TC & DC ),Differential Count,SubHeading
Ascitic Fluid Count ( TC & DC ),Eosinophils,Numeric
Ascitic Fluid Count ( TC & DC ),Lymphocytes,Numeric
Ascitic Fluid Count ( TC & DC ),Neutrophils,Numeric
Ascitic Fluid Count ( TC & DC ),Others,MultiLine Text
Ascitic Fluid Count ( TC & DC ),Psysical Examination,SubHeading
Ascitic Fluid Count ( TC & DC ),RBC,Numeric
Ascitic Fluid Count ( TC & DC ),TC ( WBC ),SingleLine Text
Ascitic Fluid Count ( TC & DC ),Volume,Numeric
Ascitic Fluid Glucose,Ascitic Fluid,SubHeading
Ascitic Fluid Glucose,Sugar,Numeric
Ascitic Fluid Protein,Ascitic Fluid,SubHeading
Ascitic Fluid Protein,Protein,Numeric
Ascitic Fluid Routine,Albumin,Numeric
Ascitic Fluid Routine,Ascitic Fluid,SubHeading
Ascitic Fluid Routine,Chemical Examination,SubHeading
Ascitic Fluid Routine,Differential Count,SubHeading
Ascitic Fluid Routine,Eosinophils,Numeric
Ascitic Fluid Routine,Fluid RBC Count,Numeric
Ascitic Fluid Routine,Lymphocytes,Numeric
Ascitic Fluid Routine,Neutrophils,Numeric
Ascitic Fluid Routine,Others,MultiLine Text
Ascitic Fluid Routine,Protein,Numeric
Ascitic Fluid Routine,Sugar,Numeric
Ascitic Fluid Routine,TC ( WBC ),SingleLine Text
ASMA,Result,Numeric
ASO (Qualitative),A:G Ratio,Numeric
ASO (Qualitative/Semi-quantitative),ASO (Qualitative),List Of Choices
ASO (Qualitative/Semi-quantitative),ASO (Qualitative/Semi-quantitative),SubHeading
ASO (Qualitative/Semi-quantitative),ASO (Semi-quantitative),Numeric
ASO (Quantitative),ASO Titre,Numeric
Asperigllosis IgM,Result,SingleLine Text
AV Fistula Doppler,Impression,TextEditor
AV Fistula Doppler - for Batency,Impression,TextEditor
AV Fistula Doppler and Mapping,Impression,TextEditor
BAER,Impression,TextEditor
Barbiturates,A:G Ratio,Numeric
Barium Enema,Impression,TextEditor
Barium Meal,Impression,TextEditor
Barium Meal  Follow Through,Impression,TextEditor
Barium Swallow,Impression,TextEditor
BENCE  JONES  PROTEINS,Bence Jones Protein,List Of Choices
Benzodiazapine Quantitative,A:G Ratio,Numeric
Beta HCG,Beta HCG,Numeric
BICARBONATE,Bicarbonate,Numeric
Bile Acids serum ( O ),Bile Acid,Numeric
Bile Pigments ( Urine ),Bile Pigments,List Of Choices
Bile Salt ( Urine ),Bile Salt,List Of Choices
Bilirubin ( Total & Direct ),Direct Bilirubin,Numeric
Bilirubin ( Total & Direct ),Indirect Bilirubin,Numeric
Bilirubin ( Total & Direct ),Total Bilirubin,Numeric
Bilirubin Direct,Direct Bilirubin,Numeric
Bilirubin Indirect,Indirect Bilirubin,Numeric
Bilirubin Total,Total Bilirubin,Numeric
Biological Indicator Test For ETO Gas Sterilizatio,Validation For ETO Gas Sterilization,Template
Biological Indicator Test For Plasma Sterilization,Validation Of Plasma Sterilization,Template
Biological Indicator Test For Steam Sterilization,Validation of Steam Sterilization,Template
Biopsy (Large),Observation,Template
Biopsy (Medium),Observation,Template
Biopsy (Small),Observation,Template
Biopsy Endo/Colonoscopy 2-3 Sample,Observation,Template
Biopsy Endo/Colonoscopy 4-6 Sample,Observation,Template
Biopsy Endo/Colonoscopy More than 6 Sample,Observation,Template
Biopsy Endoscopy 1 Sample,Comment:,Template
Biopsy Endoscopy 2sample,Observation,Template
Biopsy Trucut,Comment:,Template
"BK Virus, PCR, Qualitative",Result,List Of Choices
Bleeding  Time,Bleeding Time,SingleLine Text
Blink Reflex,Impression,TextEditor
Blood Culture & Sensitivity (Bactec),Result,List Of Choices
Blood culture for surveillance (Outside treated patient),Culture,Culture
Blood culture for surveillance (Outside treated patient),Culture & Sensitivity - (Automated) Blood,SubHeading
Blood culture for surveillance (Outside treated patient),Gram Stain,List Of Choices
Blood culture for surveillance (Outside treated patient),Gram Stain,SingleLine Text
Blood culture for surveillance (Outside treated patient),Observation,List Of Choices
Blood Culture Identification Panel,Result,List Of Choices
Blood Culture& Sensitivity,A:G Ratio,Numeric
Blood Group & Rh Type,BLOOD GROUP,List Of Choices
Blood Group & Rh Type,Rh TYPE,List Of Choices
Blood Routine Examination ( CBC With ESR ),Atypical Lymphocytes,List Of Choices
Blood Routine Examination ( CBC With ESR ),Band Forms,Numeric
Blood Routine Examination ( CBC With ESR ),Basophils,Numeric
Blood Routine Examination ( CBC With ESR ),Basophils Count,Numeric
Blood Routine Examination ( CBC With ESR ),Blast,Numeric
Blood Routine Examination ( CBC With ESR ),Blood Routine Examination ( CBC With ESR ),SubHeading
Blood Routine Examination ( CBC With ESR ),Differential Count,SubHeading
Blood Routine Examination ( CBC With ESR ),Eosinophils,Numeric
Blood Routine Examination ( CBC With ESR ),Eosinophils Count,Numeric
Blood Routine Examination ( CBC With ESR ),ESR,Numeric
Blood Routine Examination ( CBC With ESR ),Granulocyte Count,Numeric
Blood Routine Examination ( CBC With ESR ),Granulocytes,Numeric
Blood Routine Examination ( CBC With ESR ),Haemoglobin,Numeric
Blood Routine Examination ( CBC With ESR ),Hct,Numeric
Blood Routine Examination ( CBC With ESR ),LUC,Numeric
Blood Routine Examination ( CBC With ESR ),Lymphocytes,Numeric
Blood Routine Examination ( CBC With ESR ),Lymphocytes Count,Numeric
Blood Routine Examination ( CBC With ESR ),MCH,Numeric
Blood Routine Examination ( CBC With ESR ),MCHC,Numeric
Blood Routine Examination ( CBC With ESR ),MCV,Numeric
Blood Routine Examination ( CBC With ESR ),Metamylocyte,Numeric
Blood Routine Examination ( CBC With ESR ),Monocytes,Numeric
Blood Routine Examination ( CBC With ESR ),Monocytes Count,Numeric
Blood Routine Examination ( CBC With ESR ),MPV,Numeric
Blood Routine Examination ( CBC With ESR ),Myelocyte,Numeric
Blood Routine Examination ( CBC With ESR ),Neutrophils,Numeric
Blood Routine Examination ( CBC With ESR ),Neutrophils Count,Numeric
Blood Routine Examination ( CBC With ESR ),NRBC / 100 WBC,SingleLine Text
Blood Routine Examination ( CBC With ESR ),Others,MultiLine Text
Blood Routine Examination ( CBC With ESR ),Platelet,Numeric
Blood Routine Examination ( CBC With ESR ),Promyelocyte,Numeric
Blood Routine Examination ( CBC With ESR ),RBC Count,Numeric
Blood Routine Examination ( CBC With ESR ),RDW,Numeric
Blood Routine Examination ( CBC With ESR ),Reactive Lymphocytes,List Of Choices
Blood Routine Examination ( CBC With ESR ),TC,Numeric
Blood Routine Examination ( CBC With ESR ),Toxic Granulation,List Of Choices
Blood Sugar,"Glucose,Fasting",Numeric
Blood Sugar,Note,Template
Blood Sugar FBS,FBS,Numeric
Blood Sugar PPBS,PPBS,Numeric
Blood Sugar RBS,RBS,Numeric
BMD,Impression,TextEditor
BNP ( NT- pro BNP ),BNP ( NT -  pro BNP ),Numeric
Body Fluid,Body Fluid,SubHeading
Body Fluid,Fluid,SingleLine Text
Body Fluid,Sugar,Numeric
Body Fluid   Amylase,Body Fluid,SubHeading
Body Fluid   Amylase,Fluid Amylase,Numeric
Body Fluid Albumin,Albumin,Numeric
Body Fluid Albumin,Body Fluid,SubHeading
Body Fluid Albumin,Fluid,SingleLine Text
Body Fluid calcium,A:G Ratio,Numeric
Body Fluid creatinine,Creatinine,Numeric
Body Fluid DC,Differential Count,SubHeading
Body Fluid DC,Fluid,SingleLine Text
Body fluid LDH,Body Fluid,SubHeading
Body fluid LDH,LDH - Fluid,Numeric
Body Fluid Pottasium,Fluid,SingleLine Text
Body Fluid Pottasium,Potassium,Numeric
body Fluid Protein,Fluid,SingleLine Text
body Fluid Protein,Protein,Numeric
Body Fluid Routine,Albumin,Numeric
Body Fluid Routine,Differential Count,SubHeading
Body Fluid Routine,Eosinophils,Numeric
Body Fluid Routine,Fluid,SingleLine Text
Body Fluid Routine,Lymphocytes,Numeric
Body Fluid Routine,Neutrophils,Numeric
Body Fluid Routine,Others,MultiLine Text
Body Fluid Routine,Protein,Numeric
Body Fluid Routine,RBC,Numeric
Body Fluid Routine,Sugar,Numeric
Body Fluid Routine,TC ( WBC ),SingleLine Text
Body Fluid Sodium,Fluid,SingleLine Text
Body Fluid Sodium,Sodium,Numeric
Body Fluid Sugar,Fluid,SingleLine Text
Body Fluid Sugar,Sugar,Numeric
Body fluid TC  &  DC,Appearance,List Of Choices
Body fluid TC  &  DC,Atypical Cells,List Of Choices
Body fluid TC  &  DC,Body Fluid,SubHeading
Body fluid TC  &  DC,Celll Count,SubHeading
Body fluid TC  &  DC,Colour,List Of Choices
Body fluid TC  &  DC,Differential Count,SubHeading
Body fluid TC  &  DC,Eosinophils,Numeric
Body fluid TC  &  DC,Lymphocytes,Numeric
Body fluid TC  &  DC,Mesothelial Cells,List Of Choices
Body fluid TC  &  DC,Neutrophils,Numeric
Body fluid TC  &  DC,Others,MultiLine Text
Body fluid TC  &  DC,Psysical Examination,SubHeading
Body fluid TC  &  DC,RBC,Numeric
Body fluid TC  &  DC,TC ( WBC ),SingleLine Text
Body fluid TC  &  DC,Volume,Numeric
Body Fluid Triglycerides,Triglycerides,Numeric
Body Fluid Uric Acid,Uric Acid,Numeric
Bone Marrow Aspiration,Pathology Report,Template
Broncho Alveolar Lavage AFB  – RNTCP,Result,SingleLine Text
Bronchoalveolar Lavage AFB Smear,Bronchoalveolar Lavage AFB Smear,SubHeading
Bronchoalveolar Lavage AFB Smear,Observation,List Of Choices
Bronchoalveolar Lavage AFB Smear,Result,SingleLine Text
Brucella Agglutination,Result,List Of Choices
Brucella Agglutination-extra,A:G Ratio,Numeric
Brucella Antibodies IgG,Result,Numeric
Brucella Antibodies IgM,Result,SingleLine Text
Brucella IgG,A:G Ratio,Numeric
Buccal Smear,A:G Ratio,Numeric
BUN ( Blood Urea Nitrogen ),BUN,Numeric
C - Peptide  ( PP ),ABG,SubHeading
C ANCA,C ANCA,Numeric
C Peptide - Fasting,C Peptide Fasting,Numeric
C Peptide- PP,C Peptide PP,Numeric
C1 Esterase Inhibitor,C1 Esterase Inhibitor,Numeric
CA - 125,CA 125 - II,Numeric
CA 19-9,CA 19 -9,Numeric
Cadaver Transplant Crossmatch,A:G Ratio,Numeric
CALCITONINE,Calcitonine,Numeric
Calcium ( serum ),Calcium,Numeric
Calcium - Serum  ( Ionised ),Ionized Calcium,Numeric
Cannabis,A:G Ratio,Numeric
Carbamazepine ( O ),Carbamazepine,Numeric
Cardiolipin Antibody IgA,Result,SingleLine Text
Cardiolipin Antibody IgM,Result,SingleLine Text
CBC With IT Ratio  ( Neonatal ),Atypical Lymphocytes,List Of Choices
CBC With IT Ratio  ( Neonatal ),Band,Numeric
CBC With IT Ratio  ( Neonatal ),Basophils,Numeric
CBC With IT Ratio  ( Neonatal ),Basophils Count,Numeric
CBC With IT Ratio  ( Neonatal ),Blast,Numeric
CBC With IT Ratio  ( Neonatal ),Differential Count,SubHeading
CBC With IT Ratio  ( Neonatal ),Eosinophils,Numeric
CBC With IT Ratio  ( Neonatal ),Eosinophils Count,Numeric
CBC With IT Ratio  ( Neonatal ),Haemoglobin,Numeric
CBC With IT Ratio  ( Neonatal ),Hct,Numeric
CBC With IT Ratio  ( Neonatal ),IT Ratio,Numeric
CBC With IT Ratio  ( Neonatal ),LUC,Numeric
CBC With IT Ratio  ( Neonatal ),Lymphocytes,Numeric
CBC With IT Ratio  ( Neonatal ),Lymphocytes Count,Numeric
CBC With IT Ratio  ( Neonatal ),MCH,Numeric
CBC With IT Ratio  ( Neonatal ),MCHC,Numeric
CBC With IT Ratio  ( Neonatal ),MCV,Numeric
CBC With IT Ratio  ( Neonatal ),Metamyelocytes,Numeric
CBC With IT Ratio  ( Neonatal ),Monocytes,Numeric
CBC With IT Ratio  ( Neonatal ),Monocytes Count,Numeric
CBC With IT Ratio  ( Neonatal ),MPV,Numeric
CBC With IT Ratio  ( Neonatal ),Myelocyte,Numeric
CBC With IT Ratio  ( Neonatal ),Neutrophils,Numeric
CBC With IT Ratio  ( Neonatal ),Neutrophils Count,Numeric
CBC With IT Ratio  ( Neonatal ),NRBC / 100 WBC,SingleLine Text
CBC With IT Ratio  ( Neonatal ),Others,MultiLine Text
CBC With IT Ratio  ( Neonatal ),Platelet,Numeric
CBC With IT Ratio  ( Neonatal ),Promyelocyte,Numeric
CBC With IT Ratio  ( Neonatal ),RBC Count,Numeric
CBC With IT Ratio  ( Neonatal ),RDW,Numeric
CBC With IT Ratio  ( Neonatal ),Reactive Lymphocytes,List Of Choices
CBC With IT Ratio  ( Neonatal ),TC,Numeric
CBC With IT Ratio  ( Neonatal ),Toxic Granulation,List Of Choices
CD3/CD4/CD8/CD25 Enumeration,Result,List Of Choices
CD8,Result,SingleLine Text
CEA (Carcinoembryonic Antigen),CEA,Numeric
CEA (Carcinoembryonic Antigen),Comment :-,Template
CERULOPLASMIN,Ceruloplasmin,Numeric
Cervical Smear,A:G Ratio,Numeric
"CH-50 (Complement,total)",Result,List Of Choices
Chikun Gunya IgG,A:G Ratio,Numeric
Chikun Gunya IgM-ELISA,A:G Ratio,Numeric
Chikungunya IgM,Result,Numeric
Chikungunya IgM Card,IgM,List Of Choices
Chikungunya PCR,A:G Ratio,Numeric
Chlamydia Antibody IgA,A:G Ratio,Numeric
Chlamydia igG Antibody panel(lalpath),Result,SingleLine Text
Chlamydia Pneumoniae IgG,Result,Numeric
Chlamydia Pneumoniae IgM,Result,Numeric
Chlamydia trachomatis PCR(LALPATH),Result,SingleLine Text
Chlamydial Trachomatis Antibody IgA,A:G Ratio,Numeric
Chlamydial Trachomatis Antibody IgG,A:G Ratio,Numeric
Chlamydial Trachomatis Antibody IgM,A:G Ratio,Numeric
Chloride,Chloride,Numeric
Chloride,Electrolyte,SubHeading
Cholesterol Total,Comment :-,Template
Cholesterol Total,Total Cholesterol,Numeric
Cholineseterase,A:G Ratio,Numeric
Chromogranin A,Chromogranin A,Numeric
Chromosome Analysis ( Cytogenetics/Karyotyping ),A:G Ratio,Numeric
"Chromosome Analysis,Haematologic malignancy",Result,List Of Choices
Chylomicron Qualitative,A:G Ratio,Numeric
CKMB,CKMB,Numeric
CKMB,CKMB,Numeric
CKMB,Comment:,Template
Clostridium difficile GDH+Toxin A+Toxin B Card Test,Clostridium difficile GDH+Toxin A+Toxin B Card Test,SubHeading
Clostridium difficile GDH+Toxin A+Toxin B Card Test,GDH,List Of Choices
Clostridium difficile GDH+Toxin A+Toxin B Card Test,Toxin A,List Of Choices
Clostridium difficile GDH+Toxin A+Toxin B Card Test,Toxin B,List Of Choices
Clostridium difficile Toxin A & B by ELFA,Result,SingleLine Text
Clostridium difficile Toxin A & B by ELFA,Result,SingleLine Text
Clot Culture,Colony Count,List Of Choices
Clot Culture,Colony Count,List Of Choices
Clot Culture,Culture,Culture
Clot Culture,Gram Stain,List Of Choices
Clot Culture,Gram Stain,List Of Choices
Clot Culture,Observation,List Of Choices
Clotting Time,Clotting Time,SingleLine Text
CMV Detection quantitative taqman real time PCR,Result,Numeric
CMV IgG,Result,Numeric
CMV IgM,Result,Numeric
CMV Quantiation  PCR in urine(Genepath),Result,List Of Choices
Cocaine,Result,List Of Choices
Cold Agglutination,A:G Ratio,Numeric
COLD AGGLUTININ TEST,Cold Antibody Screening,List Of Choices
COMPLEMENT  C4,C4,Numeric
Complete Haemogram ( CBC ),Atypical Lymphocytes,List Of Choices
Complete Haemogram ( CBC ),Band Forms,Numeric
Complete Haemogram ( CBC ),Basophils,Numeric
Complete Haemogram ( CBC ),Basophils Count,Numeric
Complete Haemogram ( CBC ),Blast,Numeric
Complete Haemogram ( CBC ),Differential Count,SubHeading
Complete Haemogram ( CBC ),Eosinophils,Numeric
