Diagnosis,ICD Code
Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere,B967
Other specified bacterial agents as the cause of diseases classified elsewhere,B968
Viral agents as the cause of diseases classified elsewhere,B97
Enterovirus as the cause of diseases classified elsewhere,B971
Coronavirus as the cause of diseases classified elsewhere,B972
Retrovirus as the cause of diseases classified elsewhere,B973
Respiratory syncytial virus as the cause of diseases classified elsewhere,B974
Reovirus as the cause of diseases classified elsewhere,B975
Parvovirus as the cause of diseases classified elsewhere,B976
Papillomavirus as the cause of diseases classified elsewhere,B977
Other viral agents as the cause of diseases classified elsewhere,B978
Other and unspecified infectious diseases,B99
Malignant neoplasm of lip,C00
Malignant neoplasm of base of tongue,C01
Malignant neoplasm of other and unspecified parts of tongue,C02
Malignant neoplasm of gum,C03
Malignant neoplasm of floor of mouth,C04
Malignant neoplasm of palate,C05
Malignant neoplasm of other and unspecified parts of mouth,C06
Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,C068
"Malignant neoplasm of mouth, unspecified",C069
Malignant neoplasm of parotid gland,C07
Malignant neoplasm of other and unspecified major salivary glands,C08
Malignant neoplasm of tonsil,C09
Malignant neoplasm of oropharynx,C10
Malignant neoplasm of nasopharynx,C11
Malignant neoplasm of pyriform sinus,C12
Malignant neoplasm of hypopharynx,C13
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",C14
Malignant neoplasm of esophagus,C15
Malignant neoplasm of stomach,C16
Malignant neoplasm of small intestine,C17
Malignant neoplasm of colon,C18
Malignant neoplasm of rectosigmoid junction,C19
Malignant neoplasm of rectum,C20
Malignant neoplasm of anus and anal canal,C21
Malignant neoplasm of liver and intrahepatic bile ducts,C22
Malignant neoplasm of gallbladder,C23
Malignant neoplasm of other and unspecified parts of biliary tract,C24
Malignant neoplasm of pancreas,C25
Malignant neoplasm of other and ill-defined digestive organs,C26
Malignant neoplasm of nasal cavity and middle ear,C30
Malignant neoplasm of accessory sinuses,C31
Malignant neoplasm of larynx,C32
Malignant neoplasm of trachea,C33
Malignant neoplasm of bronchus and lung,C34
Malignant neoplasm of main bronchus,C340
"Malignant neoplasm of upper lobe, bronchus or lung",C341
"Malignant neoplasm of middle lobe, bronchus or lung",C342
"Malignant neoplasm of lower lobe, bronchus or lung",C343
Malignant neoplasm of overlapping sites of bronchus and lung,C348
Malignant neoplasm of unspecified part of bronchus or lung,C349
Malignant neoplasm of thymus,C37
"Malignant neoplasm of heart, mediastinum and pleura",C38
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,C39
Malignant neoplasm of bone and articular cartilage of limbs,C40
Malignant neoplasm of scapula and long bones of upper limb,C400
Malignant neoplasm of short bones of upper limb,C401
Malignant neoplasm of long bones of lower limb,C402
Malignant neoplasm of short bones of lower limb,C403
Malignant neoplasm of overlapping sites of bone and articular cartilage of limb,C408
Malignant neoplasm of unspecified bones and articular cartilage of limb,C409
Malignant neoplasm of bone and articular cartilage of other and unspecified sites,C41
Malignant melanoma of skin,C43
"Malignant melanoma of eyelid, including canthus",C431
Malignant melanoma of ear and external auricular canal,C432
Malignant melanoma of other and unspecified parts of face,C433
Malignant melanoma of scalp and neck,C434
Malignant melanoma of trunk,C435
"Malignant melanoma of upper limb, including shoulder",C436
"Malignant melanoma of lower limb, including hip",C437
Malignant melanoma of overlapping sites of skin,C438
"Malignant melanoma of skin, unspecified",C439
Merkel cell carcinoma,C4A
"Merkel cell carcinoma of eyelid, including canthus",C4A1
Merkel cell carcinoma of ear and external auricular canal,C4A2
Merkel cell carcinoma of other and unspecified parts of face,C4A3
Merkel cell carcinoma of scalp and neck,C4A4
Merkel cell carcinoma of trunk,C4A5
"Merkel cell carcinoma of upper limb, including shoulder",C4A6
"Merkel cell carcinoma of lower limb, including hip",C4A7
Merkel cell carcinoma of overlapping sites,C4A8
"Merkel cell carcinoma, unspecified",C4A9
Other and unspecified malignant neoplasm of skin,C44
Other and unspecified malignant neoplasm of skin of lip,C440
"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",C441
"Unspecified malignant neoplasm of skin of eyelid, including canthus",C4410
"Basal cell carcinoma of skin of eyelid, including canthus",C4411
"Squamous cell carcinoma of skin of eyelid, including canthus",C4412
"Other specified malignant neoplasm of skin of eyelid, including canthus",C4419
Other and unspecified malignant neoplasm of skin of ear and external auricular canal,C442
Unspecified malignant neoplasm of skin of ear and external auricular canal,C4420
Basal cell carcinoma of skin of ear and external auricular canal,C4421
Squamous cell carcinoma of skin of ear and external auricular canal,C4422
Other specified malignant neoplasm of skin of ear and external auricular canal,C4429
Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,C443
Unspecified malignant neoplasm of skin of other and unspecified parts of face,C4430
Basal cell carcinoma of skin of other and unspecified parts of face,C4431
Squamous cell carcinoma of skin of other and unspecified parts of face,C4432
Other specified malignant neoplasm of skin of other and unspecified parts of face,C4439
Other and unspecified malignant neoplasm of skin of scalp and neck,C444
Other and unspecified malignant neoplasm of skin of trunk,C445
Unspecified malignant neoplasm of skin of trunk,C4450
Basal cell carcinoma of skin of trunk,C4451
Squamous cell carcinoma of skin of trunk,C4452
Other specified malignant neoplasm of skin of trunk,C4459
"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",C446
"Unspecified malignant neoplasm of skin of upper limb, including shoulder",C4460
"Basal cell carcinoma of skin of upper limb, including shoulder",C4461
"Squamous cell carcinoma of skin of upper limb, including shoulder",C4462
"Other specified malignant neoplasm of skin of upper limb, including shoulder",C4469
"Other and unspecified malignant neoplasm of skin of lower limb, including hip",C447
"Unspecified malignant neoplasm of skin of lower limb, including hip",C4470
"Basal cell carcinoma of skin of lower limb, including hip",C4471
"Squamous cell carcinoma of skin of lower limb, including hip",C4472
"Other specified malignant neoplasm of skin of lower limb, including hip",C4479
Other and unspecified malignant neoplasm of overlapping sites of skin,C448
"Other and unspecified malignant neoplasm of skin, unspecified",C449
Mesothelioma,C45
Kaposi's sarcoma,C46
Kaposi's sarcoma of lung,C465
Kaposi's sarcoma of other sites,C467
"Kaposi's sarcoma, unspecified",C469
Malignant neoplasm of peripheral nerves and autonomic nervous system,C47
"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",C471
"Malignant neoplasm of peripheral nerves of lower limb, including hip",C472
Malignant neoplasm of peripheral nerves of thorax,C473
Malignant neoplasm of peripheral nerves of abdomen,C474
Malignant neoplasm of peripheral nerves of pelvis,C475
"Malignant neoplasm of peripheral nerves of trunk, unspecified",C476
Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,C478
"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",C479
Malignant neoplasm of retroperitoneum and peritoneum,C48
Malignant neoplasm of other connective and soft tissue,C49
"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",C491
"Malignant neoplasm of connective and soft tissue of lower limb, including hip",C492
Malignant neoplasm of connective and soft tissue of thorax,C493
Malignant neoplasm of connective and soft tissue of abdomen,C494
Malignant neoplasm of connective and soft tissue of pelvis,C495
"Malignant neoplasm of connective and soft tissue of trunk, unspecified",C496
Malignant neoplasm of overlapping sites of connective and soft tissue,C498
"Malignant neoplasm of connective and soft tissue, unspecified",C499
Gastrointestinal stromal tumor,C49A
Malignant neoplasm of breast,C50
Malignant neoplasm of nipple and areola,C500
"Malignant neoplasm of nipple and areola, female",C5001
"Malignant neoplasm of nipple and areola, male",C5002
Malignant neoplasm of central portion of breast,C501
"Malignant neoplasm of central portion of breast, female",C5011
"Malignant neoplasm of central portion of breast, male",C5012
Malignant neoplasm of upper-inner quadrant of breast,C502
"Malignant neoplasm of upper-inner quadrant of breast, female",C5021
"Malignant neoplasm of upper-inner quadrant of breast, male",C5022
Malignant neoplasm of lower-inner quadrant of breast,C503
"Malignant neoplasm of lower-inner quadrant of breast, female",C5031
"Malignant neoplasm of lower-inner quadrant of breast, male",C5032
Malignant neoplasm of upper-outer quadrant of breast,C504
"Malignant neoplasm of upper-outer quadrant of breast, female",C5041
"Malignant neoplasm of upper-outer quadrant of breast, male",C5042
Malignant neoplasm of lower-outer quadrant of breast,C505
"Malignant neoplasm of lower-outer quadrant of breast, female",C5051
"Malignant neoplasm of lower-outer quadrant of breast, male",C5052
Malignant neoplasm of axillary tail of breast,C506
"Malignant neoplasm of axillary tail of breast, female",C5061
"Malignant neoplasm of axillary tail of breast, male",C5062
Malignant neoplasm of overlapping sites of breast,C508
"Malignant neoplasm of overlapping sites of breast, female",C5081
"Malignant neoplasm of overlapping sites of breast, male",C5082
Malignant neoplasm of breast of unspecified site,C509
"Malignant neoplasm of breast of unspecified site, female",C5091
"Malignant neoplasm of breast of unspecified site, male",C5092
Malignant neoplasm of vulva,C51
Malignant neoplasm of vagina,C52
Malignant neoplasm of cervix uteri,C53
Malignant neoplasm of corpus uteri,C54
"Malignant neoplasm of uterus, part unspecified",C55
Malignant neoplasm of ovary,C56
Malignant neoplasm of other and unspecified female genital organs,C57
Malignant neoplasm of fallopian tube,C570
Malignant neoplasm of broad ligament,C571
Malignant neoplasm of round ligament,C572
Malignant neoplasm of parametrium,C573
"Malignant neoplasm of uterine adnexa, unspecified",C574
Malignant neoplasm of other specified female genital organs,C577
Malignant neoplasm of overlapping sites of female genital organs,C578
"Malignant neoplasm of female genital organ, unspecified",C579
Malignant neoplasm of placenta,C58
Malignant neoplasm of penis,C60
Malignant neoplasm of prostate,C61
Malignant neoplasm of testis,C62
Malignant neoplasm of undescended testis,C620
Malignant neoplasm of descended testis,C621
"Malignant neoplasm of testis, unspecified whether descended or undescended",C629
Malignant neoplasm of other and unspecified male genital organs,C63
Malignant neoplasm of epididymis,C630
Malignant neoplasm of spermatic cord,C631
Malignant neoplasm of scrotum,C632
Malignant neoplasm of other specified male genital organs,C637
Malignant neoplasm of overlapping sites of male genital organs,C638
"Malignant neoplasm of male genital organ, unspecified",C639
"Malignant neoplasm of kidney, except renal pelvis",C64
Malignant neoplasm of renal pelvis,C65
Malignant neoplasm of ureter,C66
Malignant neoplasm of bladder,C67
Malignant neoplasm of other and unspecified urinary organs,C68
Malignant neoplasm of eye and adnexa,C69
Malignant neoplasm of conjunctiva,C690
Malignant neoplasm of cornea,C691
Malignant neoplasm of retina,C692
Malignant neoplasm of choroid,C693
Malignant neoplasm of ciliary body,C694
Malignant neoplasm of lacrimal gland and duct,C695
Malignant neoplasm of orbit,C696
Malignant neoplasm of overlapping sites of eye and adnexa,C698
Malignant neoplasm of unspecified site of eye,C699
Malignant neoplasm of meninges,C70
Malignant neoplasm of brain,C71
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72
Malignant neoplasm of olfactory nerve,C722
Malignant neoplasm of optic nerve,C723
Malignant neoplasm of acoustic nerve,C724
Malignant neoplasm of other and unspecified cranial nerves,C725
"Malignant neoplasm of central nervous system, unspecified",C729
Malignant neoplasm of thyroid gland,C73
Malignant neoplasm of adrenal gland,C74
Malignant neoplasm of cortex of adrenal gland,C740
Malignant neoplasm of medulla of adrenal gland,C741
Malignant neoplasm of unspecified part of adrenal gland,C749
Malignant neoplasm of other endocrine glands and related structures,C75
Malignant neuroendocrine tumors,C7A
Malignant carcinoid tumors,C7A0
Malignant carcinoid tumors of the small intestine,C7A01
"Malignant carcinoid tumors of the appendix, large intestine, and rectum",C7A02
Malignant carcinoid tumors of other sites,C7A09
Malignant poorly differentiated neuroendocrine tumors,C7A1
Other malignant neuroendocrine tumors,C7A8
Secondary neuroendocrine tumors,C7B
Secondary carcinoid tumors,C7B0
Secondary Merkel cell carcinoma,C7B1
Other secondary neuroendocrine tumors,C7B8
Malignant neoplasm of other and ill-defined sites,C76
Malignant neoplasm of upper limb,C764
Malignant neoplasm of lower limb,C765
Malignant neoplasm of other specified ill-defined sites,C768
Secondary and unspecified malignant neoplasm of lymph nodes,C77
Secondary malignant neoplasm of respiratory and digestive organs,C78
Secondary malignant neoplasm of lung,C780
Secondary malignant neoplasm of mediastinum,C781
Secondary malignant neoplasm of pleura,C782
Secondary malignant neoplasm of other and unspecified respiratory organs,C783
Secondary malignant neoplasm of small intestine,C784
Secondary malignant neoplasm of large intestine and rectum,C785
Secondary malignant neoplasm of retroperitoneum and peritoneum,C786
Secondary malignant neoplasm of liver and intrahepatic bile duct,C787
Secondary malignant neoplasm of other and unspecified digestive organs,C788
Secondary malignant neoplasm of other and unspecified sites,C79
Secondary malignant neoplasm of kidney and renal pelvis,C790
Secondary malignant neoplasm of bladder and other and unspecified urinary organs,C791
Secondary malignant neoplasm of skin,C792
Secondary malignant neoplasm of brain and cerebral meninges,C793
Secondary malignant neoplasm of other and unspecified parts of nervous system,C794
Secondary malignant neoplasm of bone and bone marrow,C795
Secondary malignant neoplasm of ovary,C796
Secondary malignant neoplasm of adrenal gland,C797
Secondary malignant neoplasm of other specified sites,C798
Secondary malignant neoplasm of unspecified site,C799
Malignant neoplasm without specification of site,C80
Hodgkin lymphoma,C81
Nodular lymphocyte predominant Hodgkin lymphoma,C810
Nodular sclerosis Hodgkin lymphoma,C811
Mixed cellularity Hodgkin lymphoma,C812
Lymphocyte depleted Hodgkin lymphoma,C813
Lymphocyte-rich Hodgkin lymphoma,C814
Other Hodgkin lymphoma,C817
"Hodgkin lymphoma, unspecified",C819
Follicular lymphoma,C82
Follicular lymphoma grade I,C820
Follicular lymphoma grade II,C821
"Follicular lymphoma grade III, unspecified",C822
Follicular lymphoma grade IIIa,C823
Follicular lymphoma grade IIIb,C824
Diffuse follicle center lymphoma,C825
Cutaneous follicle center lymphoma,C826
Other types of follicular lymphoma,C828
"Follicular lymphoma, unspecified",C829
Non-follicular lymphoma,C83
Small cell B-cell lymphoma,C830
Mantle cell lymphoma,C831
Diffuse large B-cell lymphoma,C833
Lymphoblastic (diffuse) lymphoma,C835
Burkitt lymphoma,C837
Other non-follicular lymphoma,C838
"Non-follicular (diffuse) lymphoma, unspecified",C839
Mature T/NK-cell lymphomas,C84
Mycosis fungoides,C840
Sezary disease,C841
"Peripheral T-cell lymphoma, not classified",C844
"Anaplastic large cell lymphoma, ALK-positive",C846
"Anaplastic large cell lymphoma, ALK-negative",C847
"Cutaneous T-cell lymphoma, unspecified",C84A
Other mature T/NK-cell lymphomas,C84Z
"Mature T/NK-cell lymphomas, unspecified",C849
Other specified and unspecified types of non-Hodgkin lymphoma,C85
Unspecified B-cell lymphoma,C851
Mediastinal (thymic) large B-cell lymphoma,C852
Other specified types of non-Hodgkin lymphoma,C858
"Non-Hodgkin lymphoma, unspecified",C859
Other specified types of T/NK-cell lymphoma,C86
Malignant immunoproliferative diseases and certain other B-cell lymphomas,C88
Multiple myeloma and malignant plasma cell neoplasms,C90
Multiple myeloma,C900
